ticker,name,exchange,region,currency,sector
DRI,Darden Restaurants,US,US,USD,Consumer Discretionary
DDOG,Datadog,US,US,USD,Information Technology
DVA,DaVita,US,US,USD,Health Care
DECK,Deckers Brands,US,US,USD,Consumer Discretionary
DE,Deere & Company,US,US,USD,Industrials
DELL,Dell Technologies,US,US,USD,Information Technology
DAL,Delta Air Lines,US,US,USD,Industrials
DVN,Devon Energy,US,US,USD,Energy
DXCM,Dexcom,US,US,USD,Health Care
FANG,Diamondback Energy,US,US,USD,Energy
DLR,Digital Realty,US,US,USD,Real Estate
DG,Dollar General,US,US,USD,Consumer Staples
DLTR,Dollar Tree,US,US,USD,Consumer Staples
D,Dominion Energy,US,US,USD,Utilities
DPZ,Domino's,US,US,USD,Consumer Discretionary
DASH,DoorDash,US,US,USD,Consumer Discretionary
DOV,Dover Corporation,US,US,USD,Industrials
DOW,Dow Inc.,US,US,USD,Materials
DHI,D. R. Horton,US,US,USD,Consumer Discretionary
DTE,DTE Energy,US,US,USD,Utilities
DUK,Duke Energy,US,US,USD,Utilities
DD,DuPont,US,US,USD,Materials
ETN,Eaton Corporation,US,US,USD,Industrials
EBAY,eBay Inc.,US,US,USD,Consumer Discretionary
SATS,EchoStar,US,US,USD,Communication Services
ECL,Ecolab,US,US,USD,Materials
EIX,Edison International,US,US,USD,Utilities
EW,Edwards Lifesciences,US,US,USD,Health Care
EA,Electronic Arts,US,US,USD,Communication Services
ELV,Elevance Health,US,US,USD,Health Care
EME,Emcor,US,US,USD,Industrials
EMR,Emerson Electric,US,US,USD,Industrials
ETR,Entergy,US,US,USD,Utilities
EOG,EOG Resources,US,US,USD,Energy
EQT,EQT Corporation,US,US,USD,Energy
EFX,Equifax,US,US,USD,Industrials
EQIX,Equinix,US,US,USD,Real Estate
EQR,Equity Residential,US,US,USD,Real Estate
ERIE,Erie Indemnity,US,US,USD,Financials
ESS,Essex Property Trust,US,US,USD,Real Estate
EL,Estée Lauder Companies (The),US,US,USD,Consumer Staples
EG,Everest Group,US,US,USD,Financials
EVRG,Evergy,US,US,USD,Utilities
ES,Eversource Energy,US,US,USD,Utilities
EXC,Exelon,US,US,USD,Utilities
EXE,Expand Energy,US,US,USD,Energy
EXPE,Expedia Group,US,US,USD,Consumer Discretionary
EXPD,Expeditors International,US,US,USD,Industrials
EXR,Extra Space Storage,US,US,USD,Real Estate
FFIV,"F5, Inc.",US,US,USD,Information Technology
FDS,FactSet,US,US,USD,Financials
FICO,Fair Isaac,US,US,USD,Information Technology
FAST,Fastenal,US,US,USD,Industrials
FRT,Federal Realty Investment Trust,US,US,USD,Real Estate
FDX,FedEx,US,US,USD,Industrials
FDXF,FedEx Freight,US,US,USD,Industrials
FIS,Fidelity National Information Services,US,US,USD,Financials
FITB,Fifth Third Bancorp,US,US,USD,Financials
FSLR,First Solar,US,US,USD,Information Technology
FE,FirstEnergy,US,US,USD,Utilities
FISV,Fiserv,US,US,USD,Financials
FLEX,Flex Ltd.,US,US,USD,Information Technology
F,Ford Motor Company,US,US,USD,Consumer Discretionary
FTNT,Fortinet,US,US,USD,Information Technology
FTV,Fortive,US,US,USD,Industrials
FOXA,Fox Corporation (Class A),US,US,USD,Communication Services
FOX,Fox Corporation (Class B),US,US,USD,Communication Services
BEN,Franklin Resources,US,US,USD,Financials
FCX,Freeport-McMoRan,US,US,USD,Materials
GRMN,Garmin,US,US,USD,Consumer Discretionary
IT,Gartner,US,US,USD,Information Technology
GE,GE Aerospace,US,US,USD,Industrials
GEHC,GE HealthCare,US,US,USD,Health Care
GEV,GE Vernova,US,US,USD,Industrials
GEN,Gen Digital,US,US,USD,Information Technology
GNRC,Generac,US,US,USD,Industrials
GD,General Dynamics,US,US,USD,Industrials
GIS,General Mills,US,US,USD,Consumer Staples
GM,General Motors,US,US,USD,Consumer Discretionary
GPC,Genuine Parts Company,US,US,USD,Consumer Discretionary
GILD,Gilead Sciences,US,US,USD,Health Care
GPN,Global Payments,US,US,USD,Financials
GL,Globe Life,US,US,USD,Financials
GDDY,GoDaddy,US,US,USD,Information Technology
GS,Goldman Sachs,US,US,USD,Financials
